Date,Sentiment,Sentiment_coverage,Sentiment_Trends,Sentiment_Wiki,trend_generative_ai,trend_machine_learning,trend_chatgpt,large_language_model,trend_artificial_intelligence,wiki_Artificial_intelligence,wiki_ChatGPT,wiki_Large_language_model,wiki_OpenAI,wiki_Machine_learning,Sentiment_Consumer,Sentiment_EPU,Sentiment_VIX,Sentiment_Trends_z,Sentiment_Wiki_z,Sentiment_Consumer_z,Sentiment_EPU_z,Sentiment_VIX_z
1995-04-30,-0.4988626456869963,macro,,,,,,,,,,,,,92.5,65.99178,12.442631578947369,,,0.5856268958755573,-1.130854688163007,-0.9513601447735391
1995-05-31,-0.5106478722307712,macro,,,,,,,,,,,,,89.8,74.70236,12.265909090909092,,,0.3932190362004622,-0.9497918481933854,-0.9753708046993904
1995-06-30,-0.4240321137230127,macro,,,,,,,,,,,,,92.7,79.67356,11.896818181818183,,,0.5998793299255645,-0.8464577889163931,-1.0255178821782094
1995-07-31,-0.33238632605129664,macro,,,,,,,,,,,,,94.4,83.03811,12.514,,,0.7210250193506245,-0.776520427888793,-0.9416635696157214
1995-08-31,-0.38951767241052027,macro,,,,,,,,,,,,,96.2,66.76376,12.798260869565217,,,0.8492969258006875,-1.1148078932079353,-0.9030420498243131
1995-09-30,-0.5378652299214715,macro,,,,,,,,,,,,,88.9,75.22518,12.057,,,0.3290830829754312,-0.9389242281275669,-1.0037545446122786
1995-10-31,-0.36538650968359726,macro,,,,,,,,,,,,,90.2,80.62605,14.357272727272727,,,0.4217239043004767,-0.826658815203659,-0.6912246181476094
1995-11-30,-0.4297675467482664,macro,,,,,,,,,,,,,88.2,90.53283,12.46904761904762,,,0.2791995638004064,-0.6207311132877994,-0.9477710907574062
1995-12-31,-0.43874795020409446,macro,,,,,,,,,,,,,91.0,84.34724,11.7485,,,0.4787336405005046,-0.7493081417161811,-1.045669349396607
1996-01-31,-0.357238337484882,macro,,,,,,,,,,,,,89.3,90.66317,13.473636363636365,,,0.35758795107544467,-0.6180217953592988,-0.8112811681707918
